ACCESSION,REP,FIELD,DATE,CiAc,MaAc,Gal,Glu,DeHy,AcPh,AlPh,βGlu,Ur,SA,AD,TL,NF,TV,<0.5,0.5-2.5,>2.5,BD,RD,AeFW,AeDW,RFW,RDW,FFW,SFW,SDW,TVA,TMY,TO,TAn,Am,NIT-I,NIT-II,DN
Bola         ,2,CONVENTIONAL ,T1,34.29,28.1986,4.58921,5.54597,1.08,65.5212,430.84,0.4645,0.12,794.187,0.97474,2627.88,1289,19.544,620.476,1989.66,15.8844,0.49051,0.158105,171.65,25.26,28.61,3.09,,,,7.051152522,5,7.681241237,5.643452676,0,1.52,22.6,3
Bola         ,3,CONVENTIONAL ,T1,35.7213,56.8277,3.88305,27.2873,1.2,98.678,534.08,0.705,0.129,646.815,0.8638,2390.87,1306,14.052,753.355,1625.06,10.146,0.546244,0.125249,115.89,16.8,19.93,1.76,,,,6.774516966,5.602059991,7.62324929,5.477121255,46.56,0.608,22.6,4
Bola         ,1,ORGANIC,T1,43.3293,34.7983,1.44375,2.41696,0.95,113.663,462.56,0.691,0.1955,145.797,0.7759,598.162,582,2.828,356.784,233.292,7.9537,0.972981,0.325318,39.84,7.53,4.03,0.92,,,,7.537819095,7.698970004,7.469822016,6.877946952,310.4,24.32,11.3,0
Bola         ,2,ORGANIC,T1,34.2303,43.6172,3.19416,6.67059,0.86,88.6754,431.77,0.8085,0.196,422.539,0.74545,1801.44,1843,7.888,926.67,860.403,8.9275,1.02307,0.252282,68.85,10.93,10.95,1.99,,,,8.144574208,8,7.995635195,7.380211242,155.2,12.16,22.6,2
Bola         ,3,ORGANIC,T1,59.909,61.3292,1.02365,2.90551,0.92,93.1339,456.87,0.9065,0.131,180.73,0.79,728.218,578,3.569,392.755,328.022,5.9665,0.793719,0.316615,60.4,10.74,5.84,1.13,,,,6.908485019,1,7.184691431,5.740362689,155.2,24.32,22.6,1
Piquillo     ,1,CONVENTIONAL ,T2,9.51395,4.72438,0.706164,1.86185,0.98,72.029,443.64,0.407,0.172,781.478,0.86102,2823.48,3599,19.086,1632.91,1078.7,109.694,1.27467,0.308079,333.54,78,19.42,5.88,1100,46.06,15.42,6.897627091,5.204119983,6.92890769,5.397940009,31.04,0.152,2.26,3
Piquillo     ,2,CONVENTIONAL ,T2,38.0895,48.8345,0.36861,2.64056,0.97,69.4474,470.79,0.311,0.2015,553.535,0.90495,1898.28,1722,13.33,1038.89,766.189,91.7772,0.907136,0.526632,974.61,196,23.4,7.02,2114,87.46,27.67,6.118925753,4.954242509,6.441695136,4.903089987,31.04,0.152,2.26,4
Piquillo     ,3,CONVENTIONAL ,T2,60.3549,43.615,0.164279,1.86548,1.03,86.612,428.32,0.603,0.229,605.103,0.72565,2637.05,3265,11.452,1607.95,969.025,56.1822,1.23813,0.362382,415.57,94,13.75,4.15,1758,51.41,16.44,6.252853031,5,6.559308011,6.740362689,31.04,0.608,2.26,4
Piquillo     ,1,ORGANIC,T2,10.0902,9.84928,1.61112,3.11,1,89.1114,423.14,0.582,0.3005,1642.29,0.876471,5864.06,10788,37.642,3099.33,2545.42,216.92,1.83968,0.34164,889,158,48.98,12.86,427,54.26,17.95,7.491361694,5.130333768,7.325310372,5.525044807,46.56,0,11.3,0
Piquillo     ,2,ORGANIC,T2,3.33398,11.1221,1.77471,4.14479,0.9,82.6389,463.99,0.601,0.3125,1507.25,0.8443,5633.99,8247,32.407,3054.01,2364.28,207.267,1.46379,0.437251,656,187,51.1,14.17,902,56.74,18.8,7.088136089,5.45484486,7.275311355,6.767155866,77.6,0,22.6,1
Piquillo     ,3,ORGANIC,T2,10.9726,3.21308,1.54866,2.97056,1.07,91.4939,460.2,0.625,0.444,1203.05,0.707843,5369.42,8078,21.758,3649.71,1545.55,170.353,1.50445,0.430646,625,180,30.95,9.37,815,64.74,21.59,7.809559715,5.414973348,7.324282455,5.176091259,77.6,0.608,22.6,2
Piquillo     ,1,CONVENTIONAL ,T1,30.2273,38.2495,3.37288,10.3122,1.08,77.1404,434.51,0.3335,0.1585,546.15,0.9063,1897.96,1708,12.588,727.525,1157.65,11.9361,0.899914,0.144582,112.67,15.87,15.47,1.82,,,,7.040313243,5,7.096910013,6.602059991,310.4,3.04,22.6,4
Piquillo     ,2,CONVENTIONAL ,T1,90.7941,106.153,1.61035,4.96657,0.96,72.6539,485.75,0.3385,0.1695,390.272,0.9585,1313.71,941,9.487,487.191,814.705,10.3479,0.71629,0.213977,142.19,18.85,15.01,2.03,,,,7.146128036,5.176091259,6.51851394,5.658011397,310.4,1.52,22.6,2
Piquillo     ,3,CONVENTIONAL ,T1,125.032,38.8366,3.75204,7.72935,1.16,90.8947,458.46,0.6485,0.27,562.571,1.02053,1740.57,1043,14.528,437.239,1292.26,10.074,0.599228,0.117015,95.64,13.01,16.42,1.7,,,,6.934498451,5,6.662757832,5.431363764,310.4,1.52,22.6,4
Piquillo     ,1,ORGANIC,T1,8.27468,22.5812,0.966021,2.42804,0.94,88.037,400.75,0.723,0.176,247.131,0.74875,1040.23,927,4.777,528.729,502.701,7.2841,0.891145,0.362152,54.14,9.63,7.26,1.73,,,,6.892094603,1,6.84509804,5.698970004,46.56,24.32,22.6,1
Piquillo     ,2,ORGANIC,T1,8.83214,12.1418,1.34585,3.19208,0.95,78.5711,444.6,0.546,0.157,80.0811,0.806,316.245,237,1.614,157.574,153.528,3.7799,0.74942,0.241636,27.26,4.43,2.18,0.39,,,,7.977723605,6.176091259,8.08278537,7.759667845,77.6,24.32,22.6,2
Piquillo     ,3,ORGANIC,T1,29.6197,21.2526,1.75979,6.1459,1.08,96.1514,441.69,0.78,0.1925,221.413,0.8516,827.637,982,4.714,374.695,441.556,9.2723,1.18651,0.328808,67.283,12,7,1.55,,,,7.243038049,8.176091259,7.075546961,6.255272505,310.4,12.16,11.3,4
Serrano      ,1,CONVENTIONAL ,T2,41.0085,16.4799,1.41568,2.08326,1.11,86.8678,379.09,0.403,0.181,476.524,1.21437,1184.85,896,16.128,563.207,465.786,154.322,0.756213,0.78745,789,254,29.01,12.7,1454,39.59,16.4,6.989004616,5.161368002,6.498310554,7.084576278,4.656,0.304,2.26,2
Serrano      ,2,CONVENTIONAL ,T2,62.6704,44.0826,2.73769,2.69229,1.04,48.0025,275.04,0.451,0.1935,535.509,0.906167,1923.76,1851,12.678,1119.68,695.71,104.739,0.962176,0.679918,977,270,18.78,8.62,1805,91.99,36.41,8.331427297,5.469822016,6.651278014,6.602059991,0,0.0608,2.26,2
Serrano      ,3,CONVENTIONAL ,T2,51.8395,30.2813,2.07668,2.38778,0.95,73.2617,397.6,0.427,0.18725,506.017,1.06027,1554.31,1373.5,14.403,841.444,580.748,129.53,0.883673,0.740124,883,262,23.895,10.66,1629.5,65.79,26.405,8.049702456,5.342422681,6.581494542,6.907142531,4.656,0.304,1.13,2
Serrano      ,1,ORGANIC,T2,63.2092,51.1463,1.83673,3.56517,0.96,87.3388,601.03,0.632671,0.3745,546.02,1.00333,1771.56,2197,14.001,954.921,708.106,108.282,1.24015,0.522106,562,162,19.77,7.31,882,62.35,21.39,7.574031268,5.511883361,7.206825876,5.911157609,77.6,1.52,22.6,4
Serrano      ,2,ORGANIC,T2,54.3071,36.097,1.75551,8.1828,0.92,87.3093,564.05,0.761377,0.342,745.786,0.98442,2432.45,2620,19.015,1469.73,835.707,126.856,1.0771,1.19905,1784,496,47.61,22.8,2816,76.84,28.8,7.206825876,5.431363764,7.371067862,5.361727836,0,0,11.3,1
Serrano      ,3,ORGANIC,T2,58.7581,43.6217,1.79612,5.87399,0.94,80.349,543.15,0.697024,0.35825,645.903,0.993873,2102,2408.5,16.508,1212.32,771.907,117.569,1.14581,0.911982,1173,329,33.69,15.055,1849,69.595,25.095,7.428134794,5.47348697,7.29666519,5.718086295,38.8,0.76,16.95,2.5
Serrano      ,1,CONVENTIONAL ,T1,8.39731,24.1752,1.42224,1.69943,0.85,68.2987,427.9,0.5995,0.1265,228.751,0.8738,833.266,682,4.997,381.615,440.669,10.7395,0.818466,0.228137,98.63,16.22,7.06,1.14,,,,7.120573931,7.176091259,7.744292983,5.84509804,310.4,6.08,22.6,3
Serrano      ,2,CONVENTIONAL ,T1,5.84367,8.2982,0.545679,2.08128,0.71,52.9568,334.46,0.498,0.1185,188.804,0.6845,857.472,629,3.321,511.106,339.93,6.1531,0.733552,0.165613,36.08,5.8,3.98,0.55,,,,6.736396502,4.698970004,7.025305865,5.556302501,46.56,3.04,22.6,2
Serrano      ,3,CONVENTIONAL ,T1,4.282,8.06404,1.24459,3.59557,0.79,75.7763,446.24,0.6955,0.141,154.256,0.8012,612.816,453,3.09,265.416,342.274,5.0547,0.739211,0.126214,11.54,1.83,3.49,0.39,,,,7.138302698,5.477121255,7.711807229,5.667452953,0,0.608,22.6,3
Serrano      ,1,ORGANIC,T1,7.78312,9.97363,2.02859,6.70706,1.02,92.0418,571.31,0.548,0.204,261.81,1.1945,697.682,673,7.818,226.405,435.486,33.677,0.964623,0.314658,110.25,19.07,14.63,2.46,,,,7.698970004,5.698970004,7.72427587,6.041392685,155.2,24.32,11.3,3
Serrano      ,2,ORGANIC,T1,7.25834,7.12026,1.63118,3.20784,0.96,94.7858,573.33,0.674,0.161,166.995,0.9288,572.284,405,3.878,290.738,264.821,16.5347,0.70769,0.384219,59.46,10.41,6.8,1.49,,,,7.802773725,7.301029996,7.008600172,5.740362689,46.56,12.16,11.3,3
Serrano      ,3,ORGANIC,T1,9.22662,9.54803,1.306,3.08437,0.87,81.1961,547.11,0.608,0.155,214.402,1.06165,634.983,539,5.848,258.572,350.154,25.1059,0.848841,0.337722,84.855,14.74,10.715,1.975,,,,7.041392685,1,7.270678836,6.146128036,155.2,12.16,22.6,4
